C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/12,04:50:20,0000000467322645,TRADINGIS,0000000467322644
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/12 04:55:00",1,N-Q-MNSP1,59,-16.6,-17,0.07,"2025/06/12 04:50:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/12 04:55:00",1,NSW1-QLD1,59,-421.5,-418.63,4.01,"2025/06/12 04:50:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/12 04:55:00",1,T-V-MNSP1,59,-361.4,-395.03,17.77,"2025/06/12 04:50:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/12 04:55:00",1,V-S-MNSP1,59,-22,-47.75,6.28,"2025/06/12 04:50:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/12 04:55:00",1,V-SA,59,-559.71,-617.35,40.09,"2025/06/12 04:50:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/12 04:55:00",1,VIC1-NSW1,59,312.9,285,14.42,"2025/06/12 04:50:04"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/12 04:55:00",1,SA1,59,138,0,0,"2025/06/12 04:50:04",138,0.38,0.38,0.1,0.1,0.1,0.1,5.99,5.99,0.38,0.38,0.38,0.38,0.38,0.38,0.72,0.72,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/12 04:55:00",1,NSW1,59,180.02,0,0,"2025/06/12 04:50:04",180.02,0.38,0.38,0.1,0.1,0.1,0.1,5.99,5.99,0.38,0.38,0.38,0.38,0.38,0.38,0.72,0.72,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/12 04:55:00",1,QLD1,59,172.02,0,0,"2025/06/12 04:50:04",172.02,0.38,0.38,0.1,0.1,0.1,0.1,5.99,5.99,0.38,0.38,0.38,0.38,0.38,0.38,0.72,0.72,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/12 04:55:00",1,TAS1,59,179.23,0,0,"2025/06/12 04:50:04",179.23,0.38,0.38,0.38,0.38,0.1,0.1,36.54,36.54,0.38,0.38,0.38,0.38,0.38,0.38,2.75,2.75,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/12 04:55:00",1,VIC1,59,167.21,0,0,"2025/06/12 04:50:04",167.21,0.38,0.38,0.1,0.1,0.1,0.1,5.99,5.99,0.38,0.38,0.38,0.38,0.38,0.38,0.72,0.72,0.37,0.37,0,0,FIRM
C,"END OF REPORT",15
