C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/05/30,17:35:10,0000000465562674,TRADINGIS,0000000465562673
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/05/30 17:40:00",1,N-Q-MNSP1,212,-25.8,-25,0.65,"2025/05/30 17:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/05/30 17:40:00",1,NSW1-QLD1,212,-911.2,-893.5,14.18,"2025/05/30 17:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/05/30 17:40:00",1,T-V-MNSP1,212,429.1,559.99,30.4,"2025/05/30 17:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/05/30 17:40:00",1,V-S-MNSP1,212,36,36,-1.09,"2025/05/30 17:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/05/30 17:40:00",1,V-SA,212,85.94,86.06,-0.1,"2025/05/30 17:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/05/30 17:40:00",1,VIC1-NSW1,212,166.12,281.99,11.86,"2025/05/30 17:35:03"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/05/30 17:40:00",1,SA1,212,215.04,0,0,"2025/05/30 17:35:03",215.04,19.95,19.95,0.39,0.39,0.39,0.39,20.34,20.34,0.1,0.1,0.38,0.38,0.38,0.38,5,5,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/05/30 17:40:00",1,NSW1,212,288.85,0,0,"2025/05/30 17:35:03",288.85,19.95,19.95,0.39,0.39,0.39,0.39,20.34,20.34,0.1,0.1,0.38,0.38,0.38,0.38,5,5,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/05/30 17:40:00",1,QLD1,212,262.55,0,0,"2025/05/30 17:35:03",262.55,19.95,19.95,0.39,0.39,0.39,0.39,20.34,20.34,0.1,0.1,0.38,0.38,0.38,0.38,5,5,0.37,0.37,0,0,FIRM
D,TRADING,PRICE,3,"2025/05/30 17:40:00",1,TAS1,212,165.25,0,0,"2025/05/30 17:35:03",165.25,18.11,18.11,0.38,0.38,0,0,13.29,13.29,1.59,1.59,0.38,0.38,0.38,0.38,3.48,3.48,0,0,0,0,FIRM
D,TRADING,PRICE,3,"2025/05/30 17:40:00",1,VIC1,212,212.82,0,0,"2025/05/30 17:35:03",212.82,19.95,19.95,0.39,0.39,0.39,0.39,20.34,20.34,0.1,0.1,0.38,0.38,0.38,0.38,5,5,0.37,0.37,0,0,FIRM
C,"END OF REPORT",15
