C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/06,01:10:11,0000000466462123,TRADINGIS,0000000466462122
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/06 01:15:00",1,N-Q-MNSP1,15,-8.1,-9,-0.16,"2025/06/06 01:10:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/06 01:15:00",1,NSW1-QLD1,15,-135.5,-94.92,-0.66,"2025/06/06 01:10:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/06 01:15:00",1,T-V-MNSP1,15,-432.8,-465.74,24.37,"2025/06/06 01:10:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/06 01:15:00",1,V-S-MNSP1,15,-125,-125,28.04,"2025/06/06 01:10:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/06 01:15:00",1,V-SA,15,9.29,-15.96,-0.29,"2025/06/06 01:10:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/06 01:15:00",1,VIC1-NSW1,15,898.34,887.2,77.87,"2025/06/06 01:10:04"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/06 01:15:00",1,SA1,15,-19.97,0,0,"2025/06/06 01:10:04",-19.97,0.23,0.23,0.1,0.1,0.17,0.17,3.38,3.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/06 01:15:00",1,NSW1,15,96.52,0,0,"2025/06/06 01:10:04",96.52,0.23,0.23,0.1,0.1,0.17,0.17,3.38,3.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/06 01:15:00",1,QLD1,15,96.25,0,0,"2025/06/06 01:10:04",96.25,0.23,0.23,0.1,0.1,0.17,0.17,3.38,3.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/06 01:15:00",1,TAS1,15,80.24,0,0,"2025/06/06 01:10:04",80.24,0.38,0.38,0.38,0.38,0.36,0.36,7.59,7.59,0.38,0.38,0.38,0.38,0,0,3.02,3.02,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/06 01:15:00",1,VIC1,15,8.95,0,0,"2025/06/06 01:10:04",8.95,0.23,0.23,0.1,0.1,0.17,0.17,3.38,3.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,0.38,0.38,0,0,FIRM
C,"END OF REPORT",15
