C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/02,07:00:10,0000000465921747,TRADINGIS,0000000465921746
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/02 07:05:00",1,N-Q-MNSP1,85,-32.6,-41,2.87,"2025/06/02 07:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/02 07:05:00",1,NSW1-QLD1,85,-1060.3,-1209.53,83.27,"2025/06/02 07:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/02 07:05:00",1,T-V-MNSP1,85,122.1,139.2,1.47,"2025/06/02 07:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/02 07:05:00",1,V-S-MNSP1,85,12,11.28,-0.66,"2025/06/02 07:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/02 07:05:00",1,V-SA,85,396.53,449.21,20.38,"2025/06/02 07:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/02 07:05:00",1,VIC1-NSW1,85,491.99,442.26,26.07,"2025/06/02 07:00:03"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/02 07:05:00",1,SA1,85,176.08,0,0,"2025/06/02 07:00:03",176.08,0.38,0.38,0.23,0.23,0.15,0.15,3,3,0.38,0.38,0.38,0.38,0.38,0.38,3.7,3.7,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/02 07:05:00",1,NSW1,85,176.45,0,0,"2025/06/02 07:00:03",176.45,0.38,0.38,0.23,0.23,0.15,0.15,3,3,0.38,0.38,0.38,0.38,0.38,0.38,3.7,3.7,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/02 07:05:00",1,QLD1,85,146.7,0,0,"2025/06/02 07:00:03",146.7,0.38,0.38,0.23,0.23,0.15,0.15,3,3,0.38,0.38,0.38,0.38,0.38,0.38,3.7,3.7,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/02 07:05:00",1,TAS1,85,152.83,0,0,"2025/06/02 07:00:03",152.83,0.38,0.38,0.38,0.38,0.15,0.15,5.92,5.92,0.38,0.38,0.38,0.38,0.38,0.38,2.95,2.95,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/02 07:05:00",1,VIC1,85,160,0,0,"2025/06/02 07:00:03",160,0.38,0.38,0.23,0.23,0.15,0.15,3,3,0.38,0.38,0.38,0.38,0.38,0.38,3.7,3.7,0.81,0.81,0,0,FIRM
C,"END OF REPORT",15
