C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/07,16:00:12,0000000466690170,TRADINGIS,0000000466690169
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:05:00",1,N-Q-MNSP1,193,-24.8,-25,0.65,"2025/06/07 16:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:05:00",1,NSW1-QLD1,193,-585.1,-640.64,20,"2025/06/07 16:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:05:00",1,T-V-MNSP1,193,-172.7,-372.7,15.9,"2025/06/07 16:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:05:00",1,V-S-MNSP1,193,-130,-130,29.96,"2025/06/07 16:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:05:00",1,V-SA,193,-145.67,-640.13,48.73,"2025/06/07 16:00:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:05:00",1,VIC1-NSW1,193,301.68,97,2.72,"2025/06/07 16:00:03"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/07 16:05:00",1,SA1,193,141,0,0,"2025/06/07 16:00:03",141,0.38,0.38,0.15,0.15,0.1,0.1,3.98,3.98,0.39,0.39,0.57,0.57,0.39,0.39,7.95,7.95,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:05:00",1,NSW1,193,57.01,0,0,"2025/06/07 16:00:03",57.01,0.38,0.38,0.15,0.15,0.1,0.1,3.98,3.98,0.39,0.39,0.57,0.57,0.39,0.39,7.95,7.95,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:05:00",1,QLD1,193,52.07,0,0,"2025/06/07 16:00:03",52.07,0.38,0.38,0.15,0.15,0.1,0.1,3.98,3.98,0.39,0.39,0.57,0.57,0.39,0.39,7.95,7.95,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:05:00",1,TAS1,193,150.12,0,0,"2025/06/07 16:00:03",150.12,0.38,0.38,0.36,0.36,0.1,0.1,8.38,8.38,0.39,0.39,0.38,0.38,0.39,0.39,2.13,2.13,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:05:00",1,VIC1,193,111.98,0,0,"2025/06/07 16:00:03",111.98,0.38,0.38,0.15,0.15,0.1,0.1,3.98,3.98,0.39,0.39,0.57,0.57,0.39,0.39,7.95,7.95,0.38,0.38,0,0,"NOT FIRM"
C,"END OF REPORT",15
