C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/01,21:00:13,0000000465864641,TRADINGIS,0000000465864640
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 21:05:00",1,N-Q-MNSP1,253,-65.3,-61.07,7.68,"2025/06/01 21:00:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 21:05:00",1,NSW1-QLD1,253,-1117.9,-1122.85,68.95,"2025/06/01 21:00:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 21:05:00",1,T-V-MNSP1,253,-330.8,-477.24,25.54,"2025/06/01 21:00:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 21:05:00",1,V-S-MNSP1,253,15,20.82,-0.99,"2025/06/01 21:00:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 21:05:00",1,V-SA,253,361.46,214.4,7.32,"2025/06/01 21:00:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 21:05:00",1,VIC1-NSW1,253,819.89,881.8,76.38,"2025/06/01 21:00:04"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/01 21:05:00",1,SA1,253,140.61,0,0,"2025/06/01 21:00:04",140.61,0.37,0.37,0.1,0.1,0.1,0.1,9.25,9.25,0.1,0.1,0.38,0.38,0.01,0.01,1.2,1.2,0.1,0.1,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/01 21:05:00",1,NSW1,253,155.98,0,0,"2025/06/01 21:00:04",155.98,0.37,0.37,0.1,0.1,0.1,0.1,9.25,9.25,0.1,0.1,0.38,0.38,0.01,0.01,1.2,1.2,0.1,0.1,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/01 21:05:00",1,QLD1,253,114.07,0,0,"2025/06/01 21:00:04",114.07,0.37,0.37,0.1,0.1,0.1,0.1,9.25,9.25,0.1,0.1,0.38,0.38,0.01,0.01,1.2,1.2,0.1,0.1,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/01 21:05:00",1,TAS1,253,145.87,0,0,"2025/06/01 21:00:04",145.87,0.38,0.38,0.38,0.38,0.36,0.36,7.62,7.62,0.1,0.1,0.38,0.38,0,0,3.73,3.73,0.1,0.1,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/01 21:05:00",1,VIC1,253,132.72,0,0,"2025/06/01 21:00:04",132.72,0.37,0.37,0.1,0.1,0.1,0.1,9.25,9.25,0.1,0.1,0.38,0.38,0.01,0.01,1.2,1.2,0.1,0.1,0,0,FIRM
C,"END OF REPORT",15
