C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/05,00:55:11,0000000466315193,TRADINGIS,0000000466315192
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/05 01:00:00",1,N-Q-MNSP1,12,-24,-25,0.65,"2025/06/05 00:55:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/05 01:00:00",1,NSW1-QLD1,12,-513.4,-537.37,16.43,"2025/06/05 00:55:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/05 01:00:00",1,T-V-MNSP1,12,-470.6,-464.71,24.27,"2025/06/05 00:55:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/05 01:00:00",1,V-S-MNSP1,12,-110,-122.17,27.01,"2025/06/05 00:55:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/05 01:00:00",1,V-SA,12,-543.82,-536.95,23.88,"2025/06/05 00:55:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/05 01:00:00",1,VIC1-NSW1,12,188.03,145.66,3.5,"2025/06/05 00:55:04"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/05 01:00:00",1,SA1,12,83.18,0,0,"2025/06/05 00:55:04",83.18,0.37,0.37,0.1,0.1,0.1,0.1,7.84,7.84,0.38,0.38,0.39,0.39,0.1,0.1,0.1,0.1,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/05 01:00:00",1,NSW1,12,96.48,0,0,"2025/06/05 00:55:04",96.48,0.37,0.37,0.1,0.1,0.1,0.1,7.84,7.84,0.38,0.38,0.39,0.39,0.1,0.1,0.1,0.1,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/05 01:00:00",1,QLD1,12,88.99,0,0,"2025/06/05 00:55:04",88.99,0.37,0.37,0.1,0.1,0.1,0.1,7.84,7.84,0.38,0.38,0.39,0.39,0.1,0.1,0.1,0.1,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/05 01:00:00",1,TAS1,12,150.24,0,0,"2025/06/05 00:55:04",150.24,0.38,0.38,0.38,0.38,0.36,0.36,8.31,8.31,0.38,0.38,0.38,0.38,0,0,3.1,3.1,0.38,0.38,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/05 01:00:00",1,VIC1,12,92.71,0,0,"2025/06/05 00:55:04",92.71,0.37,0.37,0.1,0.1,0.1,0.1,7.84,7.84,0.38,0.38,0.39,0.39,0.1,0.1,0.1,0.1,0.38,0.38,0,0,FIRM
C,"END OF REPORT",15
