C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/07,16:25:12,0000000466692620,TRADINGIS,0000000466692619
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:30:00",1,N-Q-MNSP1,198,-25.3,-17,0.07,"2025/06/07 16:25:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:30:00",1,NSW1-QLD1,198,-544.6,-548.06,7.39,"2025/06/07 16:25:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:30:00",1,T-V-MNSP1,198,-442,-478,25.62,"2025/06/07 16:25:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:30:00",1,V-S-MNSP1,198,-130,-130,29.96,"2025/06/07 16:25:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:30:00",1,V-SA,198,-629.75,-633.71,48.66,"2025/06/07 16:25:04"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 16:30:00",1,VIC1-NSW1,198,152.95,189.24,6.34,"2025/06/07 16:25:04"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/07 16:30:00",1,SA1,198,174.95,0,0,"2025/06/07 16:25:04",174.95,0.38,0.38,0.1,0.1,0.1,0.1,0.1,0.1,0.38,0.38,0.38,0.38,0.38,0.38,5.96,5.96,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:30:00",1,NSW1,198,102.66,0,0,"2025/06/07 16:25:04",102.66,0.38,0.38,0.1,0.1,0.1,0.1,0.1,0.1,0.38,0.38,0.38,0.38,0.38,0.38,5.96,5.96,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:30:00",1,QLD1,198,96.45,0,0,"2025/06/07 16:25:04",96.45,0.38,0.38,0.1,0.1,0.1,0.1,0.1,0.1,0.38,0.38,0.38,0.38,0.38,0.38,5.96,5.96,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:30:00",1,TAS1,198,149.24,0,0,"2025/06/07 16:25:04",149.24,0.38,0.38,0.38,0.38,0.36,0.36,8.38,8.38,0.38,0.38,0.38,0.38,0,0,3.01,3.01,0.38,0.38,0,0,"NOT FIRM"
D,TRADING,PRICE,3,"2025/06/07 16:30:00",1,VIC1,198,98.06,0,0,"2025/06/07 16:25:04",98.06,0.38,0.38,0.1,0.1,0.1,0.1,0.1,0.1,0.38,0.38,0.38,0.38,0.38,0.38,5.96,5.96,0.38,0.38,0,0,"NOT FIRM"
C,"END OF REPORT",15
