C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/01,05:35:10,0000000465773627,TRADINGIS,0000000465773626
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 05:40:00",1,N-Q-MNSP1,68,-25.3,-25,0.65,"2025/06/01 05:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 05:40:00",1,NSW1-QLD1,68,-514.6,-481.44,20.33,"2025/06/01 05:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 05:40:00",1,T-V-MNSP1,68,-455.4,-471.49,24.96,"2025/06/01 05:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 05:40:00",1,V-S-MNSP1,68,-125,-112.83,23.67,"2025/06/01 05:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 05:40:00",1,V-SA,68,160.42,127.76,2.59,"2025/06/01 05:35:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/01 05:40:00",1,VIC1-NSW1,68,615.2,614.13,52.43,"2025/06/01 05:35:03"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/01 05:40:00",1,SA1,68,45.17,0,0,"2025/06/01 05:35:03",45.17,0.37,0.37,0.1,0.1,0.23,0.23,3.38,3.38,0.39,0.39,0.45,0.45,0.39,0.39,1.49,1.49,0.86,0.86,0.01,0.01,FIRM
D,TRADING,PRICE,3,"2025/06/01 05:40:00",1,NSW1,68,64.89,0,0,"2025/06/01 05:35:03",64.89,0.37,0.37,0.1,0.1,0.23,0.23,3.38,3.38,0.39,0.39,0.45,0.45,0.39,0.39,1.49,1.49,0.86,0.86,0.01,0.01,FIRM
D,TRADING,PRICE,3,"2025/06/01 05:40:00",1,QLD1,68,59.58,0,0,"2025/06/01 05:35:03",59.58,0.37,0.37,0.1,0.1,0.23,0.23,3.38,3.38,0.39,0.39,0.45,0.45,0.39,0.39,1.49,1.49,0.86,0.86,0.01,0.01,FIRM
D,TRADING,PRICE,3,"2025/06/01 05:40:00",1,TAS1,68,120.28,0,0,"2025/06/01 05:35:03",120.28,0.38,0.38,0.38,0.38,0.36,0.36,7.62,7.62,0.38,0.38,0.38,0.38,0,0,2.73,2.73,0.86,0.86,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/01 05:40:00",1,VIC1,68,30.86,0,0,"2025/06/01 05:35:03",30.86,0.37,0.37,0.1,0.1,0.23,0.23,3.38,3.38,0.39,0.39,0.45,0.45,0.39,0.39,1.49,1.49,0.86,0.86,0.01,0.01,FIRM
C,"END OF REPORT",15
